Antarctic Ice Vol Discharge (Gigatons per year),Transformed Year,CO2 (ppmv),Temperature (Kelvin)
-2211.1,-64,,
-2197.4,-54,,
-2208.8,-44,357.10673969933646,
-2208.6,-34,342.0519764062061,
-2249.7,-24,331.54980566810485,218.3
-2176.9,-14,,
-2195.5,-4,314.7139613439055,
-2192.8,6,312.36164019507424,
-2211.4,16,309.6306260790445,
-2211.4,16,307.0755443187391,
-2197.3,26,,
-2253.6,36,,
-2201.3,46,295.9913578166476,
-2192.2,56,293.80883068272027,
-2192.2,56,293.16654166689625,
-2192.2,56,295.3164626735822,
-2164.7,66,289.7624132149648,
-2188.6,76,291.5581974658393,
-2149.9,86,,
-2209.2,96,288.05443747992655,
-2102.0,106,281.58148260537183,
-2156.2,116,283.82039231033946,
-2113.4,126,,
-2203.0,136,284.43128758236145,
-2269.3,146,,
-2251.5,156,,
-2226.0,166,,
-2290.8,176,277.8559524780317,
-2236.4,186,276.3961020284933,
-2241.8,196,,
-2292.2,206,,
-2257.9,216,278.3109424912346,
-2293.0,226,277.01330979867544,
-2275.4,236,,
-2303.4,246,,
-2270.7,256,,
-2278.1,266,,217.3
-2278.8,276,,
-2363.3,286,,
-2295.2,296,,
-2435.0,306,,
-2319.8,316,,
-2424.6,326,,
-2353.7,336,,
-2351.1,346,275.066577843599,217.4
-2425.4,356,,
-2380.6,366,,
-2468.4,376,282.5698274885973,
-2402.0,386,,
-2456.2,396,,
-2411.2,406,,
-2424.8,416,,
-2424.3,426,,
-2421.4,436,,
-2455.9,446,,
-2448.7,456,,
-2469.9,466,,216.8
-2452.2,476,,
-2474.6,486,,
-2458.0,496,,
-2522.4,506,,
-2464.7,516,,216.5
-2486.1,526,,
-2519.3,536,,
-2504.0,546,,
-2534.1,556,,
-2729.1,566,,
-2606.8,576,,
-2574.8,586,,
-2610.6,596,,
-2552.0,606,,216.6
-2539.6,616,,
-2554.9,626,,
-2571.4,636,,
-2584.6,646,,
-2596.8,656,,
-2609.0,666,,
-2636.4,676,,
-2620.4,686,,216.8
-2635.5,696,,
-2649.7,706,,
-2658.7,716,,
-2716.1,726,,
-2710.7,736,,
-2725.1,746,,
-2766.7,756,,
-2783.3,766,,
-2846.0,776,,
-2863.0,786,,
-2773.8,796,,
-3047.8,806,,
-2842.9,816,,
-2846.2,826,,
-2972.7,836,,218.6
-2907.6,846,,
-2865.3,856,,
-3018.5,866,,
-2932.3,876,,
-3221.2,886,,
-3037.2,896,,
-3122.2,906,,
-2993.1,916,,
-3343.7,926,,
-3276.5,936,,
-3263.9,946,,
-3454.9,955,,
-3379.5,966,,
-3414.0,976,,
-3205.2,986,,
-3317.8,996,,
-3285.3,1006,,
-3428.4,1016,,
-3244.8,1026,,
-3291.1,1036,,
-3463.8,1046,,218.4
-3292.8,1056,,
-3116.8,1066,,
-3267.8,1076,,
