Antarctic Ice Vol Discharge (Gigatons per year),Transformed Year,CO2 (ppmv),Temperature (Kelvin)
-2211.1,-64,337.6561005680514,218.3972972972973
-2197.4,-54,347.38142013369395,216.62255158551505
-2208.8,-44,357.10673969933646,216.62675629237881
-2208.6,-34,342.0519764062061,216.6309522877139
-2249.7,-24,331.54980566810485,218.3
-2176.9,-14,323.1318835060052,216.63931814379808
-2195.5,-4,314.7139613439055,216.64348800454712
-2192.8,6,312.36164019507424,216.64764915376756
-2211.4,16,309.6306260790445,216.65180159145922
-2211.4,16,307.0755443187391,216.6559453176223
-2197.3,26,303.3808154847086,216.66008033225665
-2253.6,36,299.68608665067813,216.66420663536238
-2201.3,46,295.9913578166476,216.6683242269394
-2192.2,56,293.80883068272027,216.67243310698774
-2192.2,56,293.16654166689625,216.6765332755074
-2192.2,56,295.3164626735822,216.68062473249836
-2164.7,66,289.7624132149648,216.6847074779607
-2188.6,76,291.5581974658393,216.68878151189438
-2149.9,86,289.80631747288294,216.69284683429936
-2209.2,96,288.05443747992655,216.6969034451756
-2102.0,106,281.58148260537183,216.70095134452325
-2156.2,116,283.82039231033946,216.70499053234224
-2113.4,126,284.1258399463504,216.7090210086325
-2203.0,136,284.43128758236145,216.7130427733941
-2269.3,146,282.787453806279,216.717055826627
-2251.5,156,281.1436200301966,216.72106016833126
-2226.0,166,279.49978625411416,216.72505579850687
-2290.8,176,277.8559524780317,216.7290427171538
-2236.4,186,276.3961020284933,216.73302092427195
-2241.8,196,277.0343821827404,216.7369904198615
-2292.2,206,277.6726623369875,216.74095120392238
-2257.9,216,278.3109424912346,216.7449032764546
-2293.0,226,277.01330979867544,216.74884663745814
-2275.4,236,276.8510821357524,216.752781286933
-2303.4,246,276.68885447282935,216.7567072248792
-2270.7,256,276.52662680990636,216.7606244512967
-2278.1,266,276.3643991469833,217.3
-2278.8,276,276.2021714840603,216.7684327695457
-2363.3,286,276.03994382113723,216.77232386137717
