age_calkaBP,AnIS-ID,tempanomNH,Transformed Year
-5300.0,-1829.4,2.537,529936.0
-5299.9,-1830.7,2.507,529926.0
-5299.8,-1832.5,2.478,529916.0
-5299.7,-1839.7,2.45,529906.0
-5299.6,-1832.7,2.442,529896.0
-5299.5,-1837.6,2.415,529886.0
-5299.4,-1849.6,2.387,529876.0
-5299.3,-1830.1,2.378,529866.0
-5299.2,-1807.2,2.35,529856.0
-5299.1,-1799.0,2.324,529846.0
-5299.0,-1805.9,2.318,529836.0
-5298.9,-1814.5,2.29,529826.0
-5298.8,-1807.5,2.281,529816.0
-5298.7,-1808.2,2.254,529806.0
-5298.6,-1820.0,2.245,529796.0
-5298.5,-1827.4,2.216,529786.0
-5298.4,-1840.4,2.206,529776.0
-5298.3,-1854.3,2.176,529766.0
-5298.2,-1859.4,2.165,529756.0
-5298.1,-1866.0,2.155,529746.0
-5298.0,-1871.0,2.124,529736.0
-5297.9,-1873.7,2.111,529726.0
-5297.8,-1870.9,2.099,529716.0
-5297.7,-1868.4,2.068,529706.0
-5297.6,-1868.9,2.057,529696.0
-5297.5,-1861.8,2.045,529686.0
-5297.4,-1858.9,2.034,529676.0
-5297.3,-1862.2,2.023,529666.0
-5297.2,-1872.5,2.012,529656.0
-5297.1,-1872.7,1.999,529646.0
-5297.0,-1878.1,1.988,529636.0
-5296.9,-1884.0,1.975,529626.0
-5296.8,-1884.4,1.962,529616.0
-5296.7,-1882.5,1.949,529606.0
-5296.6,-1884.8,1.936,529596.0
-5296.5,-1883.7,1.923,529586.0
-5296.4,-1889.8,1.931,529576.0
-5296.3,-1886.6,1.918,529566.0
-5296.2,-1881.7,1.905,529556.0
-5296.1,-1892.6,1.913,529546.0
-5296.0,-1900.1,1.9,529536.0
-5295.9,-1898.5,1.907,529526.0
-5295.8,-1901.0,1.894,529516.0
-5295.7,-1902.9,1.901,529506.0
-5295.6,-1893.8,1.889,529496.0
-5295.5,-1893.2,1.897,529486.0
-5295.4,-1898.3,1.905,529476.0
-5295.3,-1895.5,1.913,529466.0
-5295.2,-1899.2,1.901,529456.0
-5295.1,-1901.8,1.908,529446.0
-5295.0,-1911.6,1.916,529436.0
-5294.9,-1894.3,1.923,529426.0
-5294.8,-1895.2,1.931,529416.0
-5294.7,-1893.4,1.939,529406.0
-5294.6,-1897.3,1.948,529396.0
-5294.5,-1899.3,1.957,529386.0
-5294.4,-1901.2,1.966,529376.0
-5294.3,-1902.5,1.974,529366.0
-5294.2,-1906.3,2.001,529356.0
-5294.1,-1909.9,2.009,529346.0
-5294.0,-1916.3,2.017,529336.0
-5293.9,-1918.8,2.044,529326.0
-5293.8,-1925.4,2.051,529316.0
-5293.7,-1919.4,2.058,529306.0
-5293.6,-1933.7,2.084,529296.0
-5293.5,-1927.6,2.09,529286.0
-5293.4,-1920.4,2.116,529276.0
-5293.3,-1921.5,2.142,529266.0
-5293.2,-1925.2,2.147,529256.0
-5293.1,-1926.5,2.173,529246.0
-5293.0,-1929.4,2.198,529236.0
-5292.9,-1930.7,2.203,529226.0
-5292.8,-1933.1,2.228,529216.0
-5292.7,-1945.3,2.252,529206.0
-5292.6,-1937.1,2.276,529196.0
-5292.5,-1938.7,2.299,529186.0
-5292.4,-1938.8,2.322,529176.0
-5292.3,-1938.7,2.346,529166.0
-5292.2,-1940.1,2.369,529156.0
-5292.1,-1957.2,2.392,529146.0
-5292.0,-1939.5,2.414,529136.0
-5291.9,-1939.1,2.456,529126.0
-5291.8,-1936.5,2.478,529116.0
-5291.7,-1936.7,2.5,529106.0
-5291.6,-1937.2,2.522,529096.0
-5291.5,-1959.6,2.563,529086.0
-5291.4,-1949.6,2.585,529076.0
-5291.3,-1949.3,2.606,529066.0
-5291.2,-1944.9,2.626,529056.0
-5291.1,-1943.3,2.667,529046.0
-5291.0,-1941.9,2.688,529036.0
-5290.9,-1925.4,2.729,529026.0
-5290.8,-1936.8,2.75,529016.0
-5290.7,-1938.5,2.79,529006.0
-5290.6,-1941.5,2.811,528996.0
-5290.5,-1944.6,2.851,528986.0
-5290.4,-1951.1,2.871,528976.0
-5290.3,-1916.5,2.91,528966.0
-5290.2,-1925.4,2.95,528956.0
-5290.1,-1936.0,2.97,528946.0
-5290.0,-1939.4,3.009,528936.0
-5289.9,-1927.4,3.049,528926.0
-5289.8,-1940.8,3.068,528916.0
-5289.7,-1917.6,3.106,528906.0
-5289.6,-1907.5,3.145,528896.0
-5289.5,-1906.9,3.184,528886.0
-5289.4,-1911.6,3.222,528876.0
-5289.3,-1914.4,3.241,528866.0
-5289.2,-1907.1,3.279,528856.0
-5289.1,-1923.5,3.318,528846.0
-5289.0,-1914.1,3.356,528836.0
-5288.9,-1892.5,3.394,528826.0
-5288.8,-1910.6,3.432,528816.0
-5288.7,-1894.6,3.471,528806.0
-5288.6,-1914.1,3.509,528796.0
-5288.5,-1907.5,3.567,528786.0
-5288.4,-1907.8,3.605,528776.0
-5288.3,-1905.4,3.644,528766.0
-5288.2,-1900.7,3.681,528756.0
-5288.1,-1879.1,3.719,528746.0
-5288.0,-1872.5,3.756,528736.0
-5287.9,-1893.2,3.814,528726.0
-5287.8,-1871.4,3.852,528716.0
-5287.7,-1873.9,3.89,528706.0
-5287.6,-1876.5,3.948,528696.0
-5287.5,-1905.4,3.985,528686.0
-5287.4,-1903.9,4.023,528676.0
-5287.3,-1876.4,4.079,528666.0
-5287.2,-1870.5,4.118,528656.0
-5287.1,-1871.8,4.156,528646.0
-5287.0,-1869.9,4.193,528636.0
-5286.9,-1905.4,4.23,528626.0
-5286.8,-1911.9,4.247,528616.0
-5286.7,-1898.4,4.282,528606.0
-5286.6,-1881.0,4.316,528596.0
-5286.5,-1913.2,4.331,528586.0
-5286.4,-1870.2,4.365,528576.0
-5286.3,-1909.3,4.38,528566.0
-5286.2,-1874.1,4.413,528556.0
-5286.1,-1889.2,4.426,528546.0
-5286.0,-1904.1,4.438,528536.0
-5285.9,-1870.6,4.451,528526.0
-5285.8,-1866.2,4.462,528516.0
-5285.7,-1911.5,4.472,528506.0
-5285.6,-1897.1,4.479,528496.0
-5285.5,-1881.1,4.486,528486.0
-5285.4,-1878.6,4.475,528476.0
-5285.3,-1882.6,4.483,528466.0
-5285.2,-1875.4,4.47,528456.0
-5285.1,-1901.5,4.476,528446.0
-5285.0,-1931.4,4.463,528436.0
-5284.9,-1898.1,4.448,528426.0
-5284.8,-1885.2,4.453,528416.0
-5284.7,-1880.5,4.44,528406.0
-5284.6,-1878.8,4.426,528396.0
-5284.5,-1874.2,4.412,528386.0
-5284.4,-1871.8,4.399,528376.0
-5284.3,-1874.0,4.366,528366.0
-5284.2,-1872.8,4.354,528356.0
-5284.1,-1869.9,4.341,528346.0
-5284.0,-1873.5,4.309,528336.0
-5283.9,-1872.2,4.298,528326.0
-5283.8,-1873.9,4.267,528316.0
-5283.7,-1872.0,4.236,528306.0
-5283.6,-1875.3,4.205,528296.0
-5283.5,-1879.4,4.175,528286.0
-5283.4,-1881.1,4.145,528276.0
-5283.3,-1880.5,4.116,528266.0
-5283.2,-1883.1,4.087,528256.0
-5283.1,-1877.6,4.06,528246.0
-5283.0,-1876.1,4.033,528236.0
-5282.9,-1866.1,3.986,528226.0
-5282.8,-1865.5,3.96,528216.0
