Year,Median rainfall
1711,79.7
1712,102.7
1713,78.6
1714,72.94999999999999
1715,107.55000000000001
1716,74.25
1717,84.65
1718,73.35
1719,70.45
1720,102.5
1721,97.8
1722,83.35
1723,68.7
1724,88.69999999999999
1725,108.0
1726,90.4
1727,101.5
1728,94.1
1729,81.80000000000001
1730,99.9
1731,76.35
1732,97.80000000000001
1733,103.0
1734,94.9
1735,113.35
1736,87.15
1737,93.55
1738,109.4
1739,96.1
1740,69.15
1741,67.3
1742,72.0
1743,83.05000000000001
1744,89.65
1745,88.55
1746,92.6
1747,58.0
1748,72.65
1749,70.25
1750,86.6
1751,98.05
1752,88.45
1753,98.9
1754,71.95
1755,104.4
1756,108.85
1757,76.45
1758,83.7
1759,73.2
1760,105.45
1761,81.4
1762,65.35
1763,98.15
1764,95.95
1765,69.9
1766,77.25
1767,94.25
1768,108.35
1769,72.3
1770,78.3
1771,63.8
1772,84.15
1773,90.1
1774,80.25
1775,104.9
1776,81.85
1777,72.19999999999999
1778,88.80000000000001
1779,83.35
1780,68.1
1781,72.15
1782,99.9
1783,91.8
1784,77.4
1785,66.7
1786,78.44999999999999
1787,78.4
1788,55.1
1789,104.1
1790,98.2
1791,99.0
1792,107.25
1793,74.9
1794,105.69999999999999
1795,88.25
1796,65.7
1797,96.75
1798,71.2
1799,87.65
1800,91.19999999999999
1801,91.95
1802,74.35
1803,61.599999999999994
1804,95.25
1805,73.7
1806,90.4
1807,83.6
1808,72.9
1809,84.94999999999999
1810,80.85
1811,105.85
1812,83.6
1813,83.85
1814,67.8
1815,86.65
1816,83.9
1817,96.15
1818,97.3
1819,91.4
1820,75.65
1821,101.30000000000001
1822,86.85
1823,88.9
1824,65.5
1825,87.2
1826,74.55
1827,84.65
1828,107.4
1829,67.6
1830,79.7
1831,84.5
1832,68.75
1833,94.0
1834,80.5
1835,86.0
1836,97.1
1837,75.75
1838,84.3
1839,100.15
1840,80.65
1841,85.8
1842,91.2
1843,79.85
1844,74.75
1845,91.35
1846,104.75
1847,77.15
1848,95.45
1849,98.80000000000001
1850,81.35
1851,74.35
1852,90.55000000000001
1853,80.2
1854,76.19999999999999
1855,74.0
1856,82.2
1857,81.05000000000001
1858,76.35
1859,89.94999999999999
1860,87.30000000000001
1861,99.30000000000001
1862,100.1
1863,97.7
1864,79.95
1865,101.6
1866,89.2
1867,87.69999999999999
1868,91.8
1869,85.85
1870,71.9
1871,82.44999999999999
1872,116.65
1873,83.45
1874,81.6
1875,80.3
1876,107.25
1877,102.2
1878,84.05000000000001
1879,86.35
1880,90.2
1881,103.65
1882,95.9
1883,103.7
1884,83.75
1885,79.95
1886,101.9
1887,70.75
1888,89.05000000000001
1889,77.85
1890,80.30000000000001
1891,78.55000000000001
1892,85.35
1893,69.75
1894,96.05000000000001
1895,101.45
1896,65.3
1897,101.05
1898,88.9
1899,85.1
1900,111.65
1901,88.75
1902,75.1
1903,105.1
1904,80.1
1905,65.4
1906,78.45
1907,84.30000000000001
1908,77.85
1909,67.95
1910,94.94999999999999
1911,70.30000000000001
1912,109.75
1913,105.75
1914,74.05000000000001
1915,86.2
1916,89.05
1917,69.55000000000001
1918,98.9
1919,73.4
1920,103.05
1921,89.05
1922,85.3
1923,97.4
1924,106.05
1925,87.5
1926,82.35
1927,99.55000000000001
1928,123.45
1929,88.19999999999999
1930,116.35
1931,84.80000000000001
1932,85.19999999999999
1933,71.25
1934,87.75
1935,85.3
1936,86.2
1937,79.80000000000001
1938,100.9
1939,81.85
1940,96.55000000000001
1941,81.1
1942,95.44999999999999
1943,80.44999999999999
1944,87.3
1945,95.3
1946,93.69999999999999
1947,105.45
1948,92.3
1949,71.55
1950,91.25
1951,92.19999999999999
1952,66.4
1953,80.35
1954,102.9
1955,85.35
1956,82.25
1957,96.30000000000001
1958,121.1
1959,73.3
1960,117.75
1961,85.4
1962,78.95
1963,70.55
1964,77.55000000000001
1965,94.8
1966,95.75
1967,83.9
1968,76.55
1969,62.650000000000006
1970,85.15
1971,62.75
1972,83.25
1973,88.45
1974,93.65
1975,55.349999999999994
1976,92.5
1977,99.69999999999999
1978,85.05
1979,97.65
1980,107.4
1981,88.75
1982,112.65
1983,89.44999999999999
1984,83.30000000000001
1985,87.2
1986,110.5
1987,81.7
1988,81.6
1989,86.4
1990,73.15
1991,90.45
1992,92.3
1993,91.75
1994,94.9
1995,90.19999999999999
1996,100.05000000000001
1997,86.3
1998,110.0
1999,78.6
2000,80.85
2001,74.19999999999999
2002,109.30000000000001
2003,80.55
2004,84.15
2005,84.5
2006,95.55
2007,90.35
2008,105.05000000000001
2009,113.15
2010,71.15
2011,96.1
2012,103.7
2013,77.15
2014,92.1
2015,100.15
2016,79.8
