Years in the past from 1950,Ice Volume,Temperature Anomaly,CO2 for Ice,Temperature for Ice
529936.0,22.3,2.537,368.02248790241714,218.3
529926.0,22.3,2.507,361.78073658846415,218.3
529916.0,22.3,2.478,359.6477931830841,218.3
529906.0,22.3,2.45,357.10673969933646,218.3
529896.0,22.3,2.442,353.94668533391206,218.3
529886.0,22.3,2.415,353.72423581425323,218.3
529876.0,22.3,2.387,352.41630841973364,218.3
529866.0,22.3,2.378,350.8086522409729,218.3
529856.0,22.3,2.35,349.8002703595191,218.3
529846.0,22.4,2.324,349.27841464963046,218.3
529836.0,22.4,2.318,347.59740561133145,218.3
529826.0,22.4,2.29,345.44120600376243,218.3
529816.0,22.4,2.281,344.71776861346984,218.3
529806.0,22.4,2.254,343.9736767615952,219.2
529796.0,22.4,2.245,343.1107520502481,220.4
529786.0,22.4,2.216,342.0519764062061,217.7
529776.0,22.4,2.206,341.3292967441024,217.0
529766.0,22.5,2.176,339.4604885213476,217.4
529756.0,22.5,2.165,334.84855553252345,217.4
529746.0,22.5,2.155,335.54695345792317,216.9
529736.0,22.5,2.124,332.3689555204767,218.2
529726.0,22.5,2.111,332.3656863259178,216.8
529716.0,22.5,2.099,331.54980566810485,216.3
529706.0,22.5,2.068,328.41588801232757,217.8
529696.0,22.5,2.057,330.3504422217994,217.0
529686.0,22.5,2.045,326.3093257445175,218.4
529676.0,22.5,2.034,326.6491948420144,217.7
529666.0,22.5,2.023,324.9059936630005,216.7
529656.0,22.6,2.012,324.5570616692709,216.2
529646.0,22.6,1.999,324.70605757685405,217.9
529636.0,22.6,1.988,325.07717594979096,215.0
529626.0,22.6,1.975,324.08551736938495,217.8
529616.0,22.6,1.962,320.38065078205506,218.2
529606.0,22.6,1.949,320.4923553617883,218.1
529596.0,22.6,1.936,322.1747797142201,217.4
529586.0,22.6,1.923,320.98156635342656,217.3
529576.0,22.6,1.931,319.1950596158425,216.0
529566.0,22.6,1.918,319.8929363220089,217.1
529556.0,22.7,1.905,319.12347301713646,217.6
529546.0,22.7,1.913,319.06606441856763,216.2
529536.0,22.7,1.9,318.61106261456985,217.0
529526.0,22.7,1.907,317.4481354802273,216.8
529516.0,22.7,1.894,319.1381732232432,217.4
529506.0,22.7,1.901,317.5216280215933,216.7
529496.0,22.7,1.889,316.59261011941027,216.5
529486.0,22.7,1.897,318.20658038167187,215.9
529476.0,22.7,1.905,313.0933880516286,216.9
529466.0,22.7,1.913,311.98389241638387,217.3
529456.0,22.7,1.901,316.3340200101121,217.6
529446.0,22.8,1.908,316.1014028920352,215.7
529436.0,22.8,1.916,314.57216625352925,217.6
529426.0,22.8,1.923,315.2703546298443,217.5
529416.0,22.8,1.931,316.3253801823537,216.8
529406.0,22.8,1.939,314.4370577968855,216.6
529396.0,22.8,1.948,315.342073915026,217.8
529386.0,22.8,1.957,314.7139613439055,215.0
529376.0,22.8,1.966,313.1710570119369,216.5
529366.0,22.8,1.974,312.8003637775662,217.0
529356.0,22.8,2.001,312.22274083278216,218.7
529346.0,22.8,2.009,312.1844627182946,218.1
529336.0,22.9,2.017,312.0017776102837,216.6
529326.0,22.9,2.044,313.6602846482332,218.8
529316.0,22.9,2.051,309.6939936066409,216.5
529306.0,22.9,2.058,311.57094999761165,216.6
529296.0,22.9,2.084,310.36290017732523,218.9
529286.0,22.9,2.09,312.8663621464335,218.4
529276.0,22.9,2.116,312.5596867804179,217.7
529266.0,22.9,2.142,311.9671347125998,216.4
529256.0,22.9,2.147,311.8114965345337,216.8
529246.0,22.9,2.173,310.440204448011,216.8
529236.0,22.9,2.198,311.2775834649954,216.9
529226.0,22.9,2.203,310.224309572614,216.4
529216.0,22.9,2.228,312.36164019507424,216.0
529206.0,22.9,2.252,311.878053578341,216.5
529196.0,22.9,2.276,312.8437329659678,217.3
529186.0,22.9,2.299,312.393938618938,217.2
529176.0,22.9,2.322,311.80226771747726,217.7
529166.0,22.9,2.346,307.7386635857962,217.4
529156.0,22.9,2.369,309.80091502114107,218.0
529146.0,22.9,2.392,310.9510867188181,218.3
529136.0,22.9,2.414,311.21179432912515,218.6
529126.0,22.9,2.456,310.4566675193962,218.9
529116.0,22.9,2.478,308.47982780846024,216.4
529106.0,22.9,2.5,311.94102882822733,218.0
529096.0,22.9,2.522,311.52050972739016,216.0
529086.0,22.9,2.563,312.3293254879136,218.3
529076.0,22.9,2.585,307.4076931745866,216.4
529066.0,23.0,2.606,309.3446868650601,216.7
529056.0,23.0,2.626,307.25859856593024,216.9
529046.0,23.0,2.667,306.3197983876916,216.7
529036.0,23.0,2.688,309.6306260790445,217.8
529026.0,23.0,2.729,307.0755443187391,217.0
529016.0,23.0,2.75,305.94402817135216,217.0
529006.0,23.0,2.79,308.27919921307927,216.5
528996.0,23.0,2.811,308.25556223436706,217.6
528986.0,23.0,2.851,305.7409186942765,218.4
528976.0,23.0,2.871,305.3808267142061,217.8
528966.0,23.0,2.91,305.78294147245686,216.7
528956.0,23.0,2.95,305.70537216677735,216.6
528946.0,23.0,2.97,305.66786848134046,218.1
528936.0,23.0,3.009,308.01874186181465,216.9
528926.0,23.0,3.049,304.96915678718324,219.0
528916.0,23.0,3.068,304.7159146968185,216.5
528906.0,23.0,3.106,306.19862429992156,217.1
528896.0,23.0,3.145,303.1815383191544,218.3
528886.0,23.0,3.184,301.8758603769565,218.4
528876.0,23.0,3.222,304.61320734820134,218.3
528866.0,23.0,3.241,303.85222132002366,216.9
528856.0,23.0,3.279,301.9151507114715,218.0
528846.0,23.0,3.318,300.7000886560916,217.8
528836.0,23.0,3.356,301.29772622272134,217.7
528826.0,23.0,3.394,299.25727749401767,217.3
528816.0,23.0,3.432,297.7268153632511,217.1
528806.0,23.0,3.471,298.10624698316605,218.6
528796.0,23.0,3.509,297.86910679162327,217.6
528786.0,23.0,3.567,301.50413540464433,218.3
528776.0,23.0,3.605,299.62686294971274,217.3
528766.0,23.0,3.644,297.32821856127947,219.0
528756.0,23.0,3.681,299.0235966178361,218.3
528746.0,23.0,3.719,295.9913578166476,217.3
528736.0,23.0,3.756,295.6106368299745,217.4
528726.0,23.0,3.814,294.22072160003313,216.9
528716.0,23.0,3.852,297.0473645165553,216.7
528706.0,23.0,3.89,295.2814574829282,217.0
528696.0,23.0,3.948,293.80883068272027,218.5
528686.0,23.0,3.985,293.16654166689625,216.5
528676.0,23.0,4.023,295.3164626735822,217.1
528666.0,23.0,4.079,294.8594308441452,216.9
528656.0,23.0,4.118,295.17192926023625,217.2
528646.0,23.0,4.156,290.9175394046256,218.3
528636.0,23.0,4.193,292.3423879392772,216.5
528626.0,23.0,4.23,294.34178746728605,217.5
528616.0,23.0,4.247,288.1157636999787,217.7
528606.0,23.0,4.282,289.2265988139854,216.3
528596.0,23.0,4.316,289.7624132149648,216.6
528586.0,23.0,4.331,292.46393479402104,218.2
528576.0,23.0,4.365,287.7707291897673,216.2
528566.0,23.0,4.38,289.3281310647417,217.8
528556.0,23.0,4.413,291.5581974658393,217.8
528546.0,23.0,4.426,286.6550967370638,216.6
528536.0,23.0,4.438,286.32578146070443,216.9
528526.0,23.0,4.451,287.9864944292303,217.3
528516.0,23.0,4.462,289.53614491302415,217.5
528506.0,23.0,4.472,287.9922513016967,218.0
528496.0,23.0,4.479,285.05229227816864,216.0
528486.0,22.9,4.486,286.65415816058197,217.7
528476.0,22.9,4.475,285.3533187571561,216.4
528466.0,22.9,4.483,287.17456217295097,216.4
528456.0,22.9,4.47,286.6330756116753,217.8
528446.0,22.9,4.476,283.16210074754474,216.4
528436.0,22.9,4.463,285.56557722684016,219.2
528426.0,22.9,4.448,288.05443747992655,217.4
528416.0,22.9,4.453,285.4658308627274,217.4
528406.0,22.9,4.44,288.7903954001126,217.0
528396.0,22.9,4.426,284.00163402345765,217.6
528386.0,22.9,4.412,286.839237474432,217.1
528376.0,22.9,4.399,283.6198856894272,216.7
528366.0,22.9,4.366,283.1828720355646,216.4
528356.0,22.9,4.354,283.5311237194569,217.4
528346.0,22.9,4.341,281.58148260537183,216.5
528336.0,22.9,4.309,283.6545457229947,219.1
528326.0,22.9,4.298,284.151983964357,216.7
528316.0,22.9,4.267,283.82039231033946,216.7
528306.0,22.9,4.236,285.0861666968484,217.9
528296.0,22.9,4.205,285.90893992625405,216.8
528286.0,22.9,4.175,281.3603652847592,217.1
528276.0,22.9,4.145,284.43128758236145,216.4
528266.0,22.9,4.116,282.7995518984052,217.0
528256.0,22.9,4.087,280.40443666000317,217.0
528246.0,22.9,4.06,282.3047106620081,217.6
528236.0,22.9,4.033,281.61711795078935,218.3
528226.0,22.9,3.986,273.07371696468044,217.7
528216.0,22.9,3.96,280.23629818436876,217.1
528206.0,22.9,3.914,277.8559524780317,217.6
528196.0,22.9,3.888,276.3961020284933,215.4
528186.0,22.9,3.843,277.15568662096365,216.0
528176.0,22.9,3.798,278.00200109884094,216.8
528166.0,22.9,3.773,276.4573287163011,216.6
528156.0,22.9,3.73,277.6000738939942,216.5
528146.0,22.9,3.686,276.8090000432731,215.5
528136.0,22.9,3.663,278.3109424912346,216.7
528126.0,22.9,3.62,277.01330979867544,217.4
528116.0,22.9,3.577,278.27011023020174,216.8
528106.0,22.9,3.555,277.35805088594464,216.8
528096.0,22.9,3.514,276.3246167739362,217.6
528086.0,22.9,3.493,276.6596678045921,217.0
528076.0,22.9,3.473,278.0152295252318,218.4
528066.0,22.9,3.434,276.6872122505445,217.3
528056.0,22.9,3.414,273.78076231204557,218.0
528046.0,22.9,3.395,271.10903046702873,216.7
528036.0,22.9,3.357,275.066577843599,217.8
528026.0,22.9,3.339,279.3568610690018,218.3
528016.0,23.0,3.322,281.10892823134105,217.5
528006.0,23.0,3.307,282.5698274885973,217.3
527996.0,23.0,3.292,281.82904146165555,216.9
527986.0,23.0,3.258,283.5296825674026,217.3
527976.0,23.0,3.244,283.94789036843633,216.6
527966.0,23.0,3.231,283.1247803916497,218.7
527956.0,23.0,3.217,280.3125047226672,218.4
527946.0,23.0,3.204,282.22658040584827,218.3
527936.0,23.0,3.193,279.7256958832981,218.4
527926.0,23.0,3.201,279.6965499485699,217.5
527916.0,23.0,3.189,280.9115788303861,218.8
527906.0,23.0,3.179,278.3621212274177,218.6
527896.0,23.0,3.167,284.0676432722511,218.6
527886.0,23.0,3.157,281.5784089788515,217.5
527876.0,23.0,3.166,278.4312489162189,216.8
527866.0,23.0,3.155,282.199286054067,216.5
527856.0,23.0,3.144,282.41311047504325,218.0
527846.0,23.0,3.153,283.68828915610504,217.8
527836.0,23.0,3.142,284.54004420226613,217.1
527826.0,23.0,3.151,283.9659747066713,216.6
527816.0,23.0,3.14,284.510584449478,217.5
527806.0,23.0,3.147,282.8416314024614,217.0
527796.0,23.0,3.135,283.0944582572788,217.6
527786.0,23.0,3.141,282.8444160166049,217.6
527776.0,23.0,3.149,280.9667443357615,217.4
527766.0,23.0,3.136,280.9161701585891,218.1
527756.0,23.0,3.143,280.06452973881244,218.4
527746.0,23.0,3.149,279.7987034131486,218.7
527736.0,23.0,3.156,278.7402401551619,216.0
527726.0,23.0,3.141,277.4071684030988,216.6
527716.0,23.0,3.146,280.10552589040225,216.2
527706.0,23.0,3.15,279.42044060983585,218.1
527696.0,23.0,3.154,278.62300321449914,216.7
527686.0,23.0,3.159,279.72469920818,215.7
527676.0,23.0,3.162,279.29371083930937,217.9
527666.0,23.0,3.165,279.9902637416671,216.7
527656.0,23.0,3.168,277.098940914164,216.4
527646.0,23.0,3.171,278.45496800258206,218.2
527636.0,23.0,3.193,279.58805021854124,216.8
527626.0,23.0,3.195,277.86971612986054,216.0
527616.0,23.0,3.197,276.19603745957005,217.5
527606.0,23.0,3.2,278.4608975547629,217.2
527596.0,23.0,3.222,276.5590465243607,217.0
527586.0,23.0,3.224,276.78951906858396,217.3
527576.0,23.0,3.225,277.1056915049757,217.5
527566.0,23.0,3.247,279.9999146746923,217.9
527556.0,23.0,3.249,279.12520908544417,216.4
527546.0,23.0,3.27,277.24691789826335,218.8
527536.0,23.0,3.271,277.79537780888165,217.6
527526.0,23.0,3.292,281.692138914424,217.2
527516.0,23.0,3.294,280.9089598541969,217.6
527506.0,23.0,3.316,280.2444922059889,216.8
527496.0,23.0,3.338,278.31439989271746,218.4
527486.0,23.0,3.339,280.24908719030117,218.3
527476.0,23.0,3.361,277.55589209790946,217.7
527466.0,23.0,3.382,278.0719954240161,218.1
527456.0,23.0,3.404,278.1,218.5
527446.0,23.0,3.426,277.5,216.5
