Year,Rainfall,CO2 (ppmv),temp,Median rainfall
2016,1060.7,,,79.8
2015,1346.0,,,100.15
2014,1262.7,,,92.1
2013,1116.5,,,77.15
2012,1183.7,,,103.7
2011,1126.5,,,96.1
2010,987.6999999999999,,,71.15
2009,1375.6000000000001,,,113.15
2008,1249.5,,,105.05000000000001
2007,1066.6,,,90.35
2006,1181.5,,,95.55
2005,1049.8,,,84.5
2004,1053.3,,,84.15
2003,934.8,,,80.55
2002,1393.3,,,109.30000000000001
2001,924.6999999999999,368.02248790241714,,74.19999999999999
2000,1195.7,,218.3,80.85
1999,1153.3,,,78.6
1998,1257.5,361.78073658846415,,110.0
1997,1126.4,,,86.3
1996,1127.9,359.6477931830841,,100.05000000000001
1995,1103.8,,,90.19999999999999
1994,1236.6,357.10673969933646,,94.9
1993,1166.3,353.94668533391206,218.3,91.75
1992,1060.3,353.72423581425323,,92.3
1991,1015.7,352.41630841973364,,90.45
1990,1100.9,,,73.15
1989,1011.2,350.8086522409729,,86.4
1989,1011.2,349.8002703595191,,86.4
1988,1174.2,349.27841464963046,,81.6
1988,1174.2,347.59740561133145,,81.6
1987,1017.1999999999999,345.44120600376243,218.3,81.7
1986,1225.2,344.71776861346984,,110.5
1986,1225.2,343.9736767615952,,110.5
1985,1147.6,343.1107520502481,,87.2
1984,1061.8,342.0519764062061,,83.30000000000001
1983,1069.0,341.3292967441024,,89.44999999999999
1983,1069.0,339.4604885213476,,89.44999999999999
1982,1250.8,,,112.65
1981,1148.6,,218.3,88.75
1980,1194.4,,,107.4
1979,1156.6000000000001,334.84855553252345,,97.65
1978,1099.8,,,85.05
1977,1163.9,,,99.69999999999999
1976,1010.7,335.54695345792317,,92.5
1976,1010.7,332.3689555204767,,92.5
1975,871.6,332.3656863259178,,55.349999999999994
1974,1137.0,331.54980566810485,218.3,93.65
1973,978.8000000000001,,,88.45
1972,1057.3,328.41588801232757,,83.25
1972,1057.3,330.3504422217994,,83.25
1971,844.2,,,62.75
1970,1053.1,326.3093257445175,,85.15
1970,1053.1,326.6491948420144,,85.15
1970,1053.1,324.9059936630005,,85.15
1970,1053.1,324.5570616692709,,85.15
1969,940.0,324.70605757685405,,62.650000000000006
1968,1104.0,325.07717594979096,,76.55
1968,1104.0,324.08551736938495,,76.55
1968,1104.0,320.38065078205506,,76.55
1967,1101.0,,218.3,83.9
1966,1239.2,320.4923553617883,,95.75
1966,1239.2,322.1747797142201,,95.75
1965,1178.5,320.98156635342656,,94.8
1965,1178.5,319.1950596158425,,94.8
1965,1178.5,319.8929363220089,,94.8
1964,1054.3,,,77.55000000000001
1963,1049.3,319.12347301713646,,70.55
1963,1049.3,319.06606441856763,,70.55
1962,1016.8,318.61106261456985,,78.95
1962,1016.8,317.4481354802273,,78.95
1962,1016.8,319.1381732232432,,78.95
1962,1016.8,317.5216280215933,,78.95
1961,1068.1,316.59261011941027,218.3,85.4
1960,1328.1,318.20658038167187,,117.75
1960,1328.1,313.0933880516286,,117.75
1959,1015.2,311.98389241638387,,73.3
1958,1280.9,316.3340200101121,,121.1
1958,1280.9,316.1014028920352,,121.1
1957,1108.8,314.57216625352925,,96.30000000000001
1957,1108.8,315.2703546298443,,96.30000000000001
1957,1108.8,316.3253801823537,,96.30000000000001
1957,1108.8,314.4370577968855,,96.30000000000001
1956,1066.1,315.342073915026,,82.25
1955,979.0,,,85.35
1954,1241.5,314.7139613439055,,102.9
1953,896.9,313.1710570119369,218.3,80.35
1953,896.9,312.8003637775662,218.3,80.35
1953,896.9,312.22274083278216,218.3,80.35
1952,929.2,312.1844627182946,,66.4
1951,1171.1,,,92.19999999999999
1950,1170.4,312.0017776102837,,91.25
1949,972.9,313.6602846482332,,71.55
1948,1221.7,309.6939936066409,,92.3
1947,1247.4,311.57094999761165,,105.45
1946,1214.1,310.36290017732523,,93.69999999999999
1946,1214.1,312.8663621464335,,93.69999999999999
1945,1026.2,312.5596867804179,,95.3
1945,1026.2,311.9671347125998,,95.3
1945,1026.2,311.8114965345337,,95.3
1944,1062.7,310.440204448011,218.3,87.3
1944,1062.7,311.2775834649954,218.3,87.3
1944,1062.7,310.224309572614,218.3,87.3
1943,1059.4,312.36164019507424,,80.44999999999999
1942,1039.9,311.878053578341,,95.44999999999999
1942,1039.9,312.8437329659678,,95.44999999999999
1941,963.4,312.393938618938,,81.1
1940,1119.6,311.80226771747726,,96.55000000000001
1940,1119.6,307.7386635857962,,96.55000000000001
1939,1037.1,309.80091502114107,,81.85
1939,1037.1,310.9510867188181,,81.85
1939,1037.1,311.21179432912515,,81.85
1938,1203.4,310.4566675193962,,100.9
1938,1203.4,308.47982780846024,,100.9
1938,1203.4,311.94102882822733,,100.9
1937,1097.8,311.52050972739016,,79.80000000000001
1937,1097.8,312.3293254879136,,79.80000000000001
1936,1109.0,307.4076931745866,218.3,86.2
1935,1024.7,309.3446868650601,,85.3
1935,1024.7,307.25859856593024,,85.3
1935,1024.7,306.3197983876916,,85.3
1934,1104.0,,,87.75
1933,821.1,309.6306260790445,,71.25
1933,821.1,307.0755443187391,,71.25
1932,1014.1,305.94402817135216,,85.19999999999999
1932,1014.1,308.27919921307927,,85.19999999999999
1932,1014.1,308.25556223436706,,85.19999999999999
1931,1172.0,,,84.80000000000001
1930,1237.9,305.7409186942765,,116.35
1929,1135.0,305.3808267142061,,88.19999999999999
1928,1337.1,305.78294147245686,,123.45
1928,1337.1,305.70537216677735,,123.45
1928,1337.1,305.66786848134046,,123.45
1927,1144.6,308.01874186181465,218.3,99.55000000000001
1926,1036.6,,,82.35
1925,1025.1,304.96915678718324,,87.5
1924,1293.8,304.7159146968185,,106.05
1923,1164.1,,,97.4
1922,961.0,306.19862429992156,,85.3
1922,961.0,303.1815383191544,,85.3
1921,897.0,,,89.05
1920,1174.8,,,103.05
1919,917.4,301.8758603769565,218.3,73.4
1918,1141.8,304.61320734820134,,98.9
1917,1020.5,303.85222132002366,,69.55000000000001
1916,1193.5,,,89.05
1915,1070.7,301.9151507114715,,86.2
1914,1123.3,300.7000886560916,,74.05000000000001
1913,1117.6,,,105.75
1912,1123.9,301.29772622272134,,109.75
1911,1019.3,299.25727749401767,218.3,70.30000000000001
1911,1019.3,297.7268153632511,218.3,70.30000000000001
1910,1128.2,298.10624698316605,,94.94999999999999
1909,959.5,297.86910679162327,,67.95
1908,1031.3,301.50413540464433,,77.85
1907,1047.4,,,84.30000000000001
1906,968.2,,,78.45
1905,931.9,299.62686294971274,,65.4
1905,931.9,297.32821856127947,,65.4
1905,931.9,299.0235966178361,,65.4
1904,1044.2,,,80.1
1903,1335.2,295.9913578166476,,105.1
1902,993.0,,219.2,75.1
1901,1026.0,295.6106368299745,,88.75
1900,1217.7,294.22072160003313,,111.65
1899,1095.8,,,85.1
1898,1063.0,297.0473645165553,,88.9
1898,1063.0,295.2814574829282,,88.9
1897,1217.2,,,101.05
1896,1011.4,,,65.3
1895,1060.9,,,101.45
1894,1087.7,,220.4,96.05000000000001
1893,856.6,293.80883068272027,,69.75
1893,856.6,293.16654166689625,,69.75
1893,856.6,295.3164626735822,,69.75
1892,1050.2,294.8594308441452,,85.35
1892,1050.2,295.17192926023625,,85.35
1891,1042.1000000000001,,,78.55000000000001
1890,1047.1,,,80.30000000000001
1889,1008.2,290.9175394046256,,77.85
1889,1008.2,292.3423879392772,,77.85
1888,1065.9,,,89.05000000000001
1887,789.0,294.34178746728605,,70.75
1886,1190.7,,,101.9
1885,1015.2,288.1157636999787,217.7,79.95
1884,1066.2,289.2265988139854,,83.75
1883,1214.7,289.7624132149648,,103.7
1882,1252.6,292.46393479402104,,95.9
1881,1148.4,,,103.65
1880,1075.1000000000001,,,90.2
1879,1070.3,287.7707291897673,,86.35
1878,1024.0,,,84.05000000000001
1877,1329.9,,,102.2
1876,1206.8,289.3281310647417,217.0,107.25
1875,1125.8,,,80.3
1874,1048.9,,,81.6
1873,1045.5,291.5581974658393,,83.45
1872,1404.9,286.6550967370638,,116.65
1871,1076.4,,,82.44999999999999
1870,928.9,286.32578146070443,,71.9
1869,1075.2,287.9864944292303,,85.85
1868,1147.4,289.53614491302415,217.4,91.8
1867,1012.7,287.9922513016967,,87.69999999999999
1866,1101.6,285.05229227816864,,89.2
1865,1138.9,,,101.6
1864,924.8,286.65415816058197,,79.95
1863,1108.4,,,97.7
1862,1204.1,285.3533187571561,,100.1
1861,1249.6,287.17456217295097,,99.30000000000001
1860,1143.9,,,87.30000000000001
1859,989.2,,217.4,89.94999999999999
1858,986.4,286.6330756116753,,76.35
1857,963.3000000000001,,,81.05000000000001
1856,950.5,283.16210074754474,,82.2
1855,825.9,,,74.0
1854,899.3,285.56557722684016,,76.19999999999999
1853,1040.3,288.05443747992655,,80.2
1852,1348.5,,,90.55000000000001
1851,995.2,285.4658308627274,,74.35
1850,1021.0,288.7903954001126,216.9,81.35
1850,1021.0,284.00163402345765,216.9,81.35
1849,1080.0,,,98.80000000000001
1848,1185.6,,,95.45
1847,1028.9,286.839237474432,,77.15
1846,1183.4,,,104.75
1845,1080.8,283.6198856894272,,91.35
1844,945.8,283.1828720355646,,74.75
1844,945.8,283.5311237194569,,74.75
1843,985.7,281.58148260537183,,79.85
1842,991.1999999999999,,,91.2
1841,1039.9,,,85.8
1840,916.5,283.6545457229947,218.2,80.65
1839,1151.2,,,100.15
1838,1034.4,,,84.3
1837,996.6999999999999,,,75.75
1836,1103.7,284.151983964357,,97.1
1835,1102.5,,,86.0
1834,1012.7,,,80.5
1833,1160.8,283.82039231033946,,94.0
1832,954.6,285.0861666968484,,68.75
1831,1126.3,,,84.5
1830,1002.0,,216.8,79.7
1829,979.2,,,67.6
1828,1220.4,,,107.4
1827,1051.7,,,84.65
1826,885.5,285.90893992625405,,74.55
1825,1025.7,,,87.2
1824,1015.0,281.3603652847592,,65.5
1823,1169.5,,,88.9
1822,1157.7,,,86.85
1821,1089.5,,,101.30000000000001
1820,969.7,,216.3,75.65
1819,1142.3,,,91.4
1818,1200.8999999999999,,,97.3
1817,1117.7,,,96.15
1816,1165.1000000000001,,,83.9
1815,1037.8,,,86.65
1814,1058.2,,,67.8
1813,1022.5,284.43128758236145,,83.85
1812,1078.7,,,83.6
1811,1163.1,,,105.85
1810,1004.2,,217.8,80.85
1809,1164.1,,,84.94999999999999
1808,1026.8,,,72.9
