Year,Rainfall,CO2 (ppmv),temp,Median rainfall
2016,1060.7,339.0503326215927,218.79916374161564,79.8
2015,1346.0,340.98180964031434,218.76796600776467,100.15
2014,1262.7,342.913286659036,218.7367682739137,92.1
2013,1116.5,344.8447636777576,218.70557054006272,77.15
2012,1183.7,346.7762406964792,218.67437280621175,103.7
2011,1126.5,348.70771771520083,218.64317507236075,96.1
2010,987.6999999999999,350.63919473392247,218.61197733850977,71.15
2009,1375.6000000000001,352.5706717526441,218.5807796046588,113.15
2008,1249.5,354.50214877136574,218.54958187080783,105.05000000000001
2007,1066.6,356.4336257900874,218.51838413695685,90.35
2006,1181.5,358.365102808809,218.48718640310588,95.55
2005,1049.8,360.29657982753065,218.4559886692549,84.5
2004,1053.3,362.22805684625223,218.4247909354039,84.15
2003,934.8,364.15953386497387,218.39359320155293,80.55
2002,1393.3,366.0910108836955,218.36239546770196,109.30000000000001
2001,924.6999999999999,368.02248790241714,218.33119773385098,74.19999999999999
2000,1195.7,365.9419041310995,218.3,80.85
1999,1153.3,363.8613203597818,218.3,78.6
1998,1257.5,361.78073658846415,218.3,110.0
1997,1126.4,360.7142648857741,218.3,86.3
1996,1127.9,359.6477931830841,218.3,100.05000000000001
1995,1103.8,358.3772664412103,218.3,90.19999999999999
1994,1236.6,357.10673969933646,218.3,94.9
1993,1166.3,353.94668533391206,218.3,91.75
1992,1060.3,353.72423581425323,218.3,92.3
1991,1015.7,352.41630841973364,218.3,90.45
1990,1100.9,351.61248033035326,218.3,73.15
1989,1011.2,350.8086522409729,218.3,86.4
1989,1011.2,349.8002703595191,218.3,86.4
1988,1174.2,349.27841464963046,218.3,81.6
1988,1174.2,347.59740561133145,218.3,81.6
1987,1017.1999999999999,345.44120600376243,218.3,81.7
1986,1225.2,344.71776861346984,218.3,110.5
1986,1225.2,343.9736767615952,218.3,110.5
1985,1147.6,343.1107520502481,218.3,87.2
1984,1061.8,342.0519764062061,218.3,83.30000000000001
1983,1069.0,341.3292967441024,218.3,89.44999999999999
1983,1069.0,339.4604885213476,218.3,89.44999999999999
1982,1250.8,338.3075052741416,218.3,112.65
1981,1148.6,337.1545220269355,218.3,88.75
1980,1194.4,336.00153877972946,218.3,107.4
1979,1156.6000000000001,334.84855553252345,218.3,97.65
1978,1099.8,335.08135484099,218.3,85.05
1977,1163.9,335.3141541494566,218.3,99.69999999999999
1976,1010.7,335.54695345792317,218.3,92.5
1976,1010.7,332.3689555204767,218.3,92.5
1975,871.6,332.3656863259178,218.3,55.349999999999994
1974,1137.0,331.54980566810485,218.3,93.65
1973,978.8000000000001,329.9828468402162,218.3,88.45
1972,1057.3,328.41588801232757,218.3,83.25
1972,1057.3,330.3504422217994,218.3,83.25
1971,844.2,328.3298839831584,218.3,62.75
1970,1053.1,326.3093257445175,218.3,85.15
1970,1053.1,326.6491948420144,218.3,85.15
1970,1053.1,324.9059936630005,218.3,85.15
1970,1053.1,324.5570616692709,218.3,85.15
1969,940.0,324.70605757685405,218.3,62.650000000000006
1968,1104.0,325.07717594979096,218.3,76.55
1968,1104.0,324.08551736938495,218.3,76.55
1968,1104.0,320.38065078205506,218.3,76.55
1967,1101.0,320.4365030719217,218.3,83.9
1966,1239.2,320.4923553617883,218.3,95.75
1966,1239.2,322.1747797142201,218.3,95.75
1965,1178.5,320.98156635342656,218.3,94.8
1965,1178.5,319.1950596158425,218.3,94.8
1965,1178.5,319.8929363220089,218.3,94.8
1964,1054.3,319.5082046695727,218.3,77.55000000000001
1963,1049.3,319.12347301713646,218.3,70.55
1963,1049.3,319.06606441856763,218.3,70.55
1962,1016.8,318.61106261456985,218.3,78.95
1962,1016.8,317.4481354802273,218.3,78.95
1962,1016.8,319.1381732232432,218.3,78.95
1962,1016.8,317.5216280215933,218.3,78.95
1961,1068.1,316.59261011941027,218.3,85.4
1960,1328.1,318.20658038167187,218.3,117.75
1960,1328.1,313.0933880516286,218.3,117.75
1959,1015.2,311.98389241638387,218.3,73.3
1958,1280.9,316.3340200101121,218.3,121.1
1958,1280.9,316.1014028920352,218.3,121.1
1957,1108.8,314.57216625352925,218.3,96.30000000000001
1957,1108.8,315.2703546298443,218.3,96.30000000000001
1957,1108.8,316.3253801823537,218.3,96.30000000000001
1957,1108.8,314.4370577968855,218.3,96.30000000000001
1956,1066.1,315.342073915026,218.3,82.25
1955,979.0,315.02801762946575,218.3,85.35
1954,1241.5,314.7139613439055,218.3,102.9
1953,896.9,313.1710570119369,218.3,80.35
1953,896.9,312.8003637775662,218.3,80.35
1953,896.9,312.22274083278216,218.3,80.35
1952,929.2,312.1844627182946,218.3,66.4
1951,1171.1,312.09312016428913,218.3,92.19999999999999
1950,1170.4,312.0017776102837,218.3,91.25
1949,972.9,313.6602846482332,218.3,71.55
1948,1221.7,309.6939936066409,218.3,92.3
1947,1247.4,311.57094999761165,218.3,105.45
1946,1214.1,310.36290017732523,218.3,93.69999999999999
1946,1214.1,312.8663621464335,218.3,93.69999999999999
1945,1026.2,312.5596867804179,218.3,95.3
1945,1026.2,311.9671347125998,218.3,95.3
1945,1026.2,311.8114965345337,218.3,95.3
1944,1062.7,310.440204448011,218.3,87.3
1944,1062.7,311.2775834649954,218.3,87.3
1944,1062.7,310.224309572614,218.3,87.3
1943,1059.4,312.36164019507424,218.3,80.44999999999999
1942,1039.9,311.878053578341,218.3,95.44999999999999
1942,1039.9,312.8437329659678,218.3,95.44999999999999
1941,963.4,312.393938618938,218.3,81.1
1940,1119.6,311.80226771747726,218.3,96.55000000000001
1940,1119.6,307.7386635857962,218.3,96.55000000000001
1939,1037.1,309.80091502114107,218.3,81.85
1939,1037.1,310.9510867188181,218.3,81.85
1939,1037.1,311.21179432912515,218.3,81.85
